region,crop,crop_variety,season,soil_ph,soil_moisture_pct,nitrogen_N_mg_kg,phosphorus_P_mg_kg,potassium_K_mg_kg,rainfall_mm,temperature_c,farm_size_acres,yield_value,yield_unit,yield_category
Northern,Tomato,Pectomech,Minor,6.3,63.0,10.4,60.9,118.8,811.2,30.8,0.98,1584.5,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Major,5.74,52.9,96.9,2.0,155.0,1323.6,27.1,0.89,9.25,bags_per_acre,Low
Northern,Tomato,Pectomech,Major,6.47,51.6,117.0,2.0,41.9,806.9,30.8,9.12,1292.8,kg_per_acre,Low
Ashanti,Tomato,Local,Major,5.51,66.0,64.8,14.8,88.3,1276.3,27.8,1.77,1563.1,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Major,6.03,71.6,8.7,41.4,134.5,1016.8,24.6,6.4,8.96,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,6.34,68.7,120.7,35.7,155.3,1513.6,28.4,2.25,18.71,bags_per_acre,Medium
Brong-Ahafo,Tomato,Local,Major,5.74,56.7,50.9,28.2,148.4,1281.6,28.3,1.77,1968.5,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Minor,5.71,58.8,108.6,19.5,180.1,1312.0,30.8,3.72,13.61,bags_per_acre,Medium
Ashanti,Tomato,F1 Hybrid,Major,5.71,62.5,91.0,4.1,139.0,1795.3,27.2,2.12,3072.7,kg_per_acre,Medium
Eastern,Maize,Local,Major,5.83,64.0,92.9,58.3,102.3,981.6,24.5,0.85,9.95,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,6.44,51.8,153.6,9.7,98.2,1085.7,26.7,5.38,2945.5,kg_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Minor,5.97,33.8,63.9,35.9,82.7,1330.8,28.0,0.73,12.61,bags_per_acre,Medium
Western,Maize,Pioneer 30G19,Major,6.36,63.7,91.2,17.1,94.1,1679.0,25.3,1.58,18.25,bags_per_acre,Medium
Northern,Tomato,Pectomech,Minor,6.43,62.5,96.4,19.8,129.7,708.6,31.3,0.97,1633.9,kg_per_acre,Low
